River,Month,Day,Arsenic ug/L,Lead ppb,Fertilizer mg/L,Pesticide mg/L
Blanco River,1,1,39,31,0,0
Blanco River,1,2,50,51,0,0
Blanco River,1,3,56,71,0,0
Blanco River,1,4,31,57,0,0
Blanco River,1,6,92,57,0,0
Blanco River,1,7,39,84,0,0
Blanco River,1,8,71,37,0,0
Blanco River,1,9,46,35,0,0
Blanco River,1,10,50,63,0,0
Blanco River,1,11,38,43,0,0
Blanco River,1,12,45,56,0,0
Blanco River,1,14,32,68,0,0
Blanco River,1,16,54,60,0,0
Blanco River,1,17,49,98,0,0
Blanco River,1,18,79,66,0,0
Blanco River,1,19,68,6,0,0
Blanco River,1,22,68,51,0,0
Blanco River,1,23,64,57,0,0
Blanco River,1,25,33,53,0,0
Blanco River,1,26,72,40,0,0
Blanco River,1,27,26,53,0,0
Blanco River,1,28,89,76,0,0
Blanco River,1,29,44,57,0,0
Blanco River,1,30,62,49,0,0
Blanco River,1,31,89,14,0,0
Blanco River,2,1,29,48,0,0
Blanco River,2,2,91,64,0,0
Blanco River,2,3,50,49,0,0
Blanco River,2,5,86,55,0,0
Blanco River,2,7,45,23,0,0
Blanco River,2,8,27,49,0,0
Blanco River,2,9,66,39,0,0
Blanco River,2,12,43,67,0,0
Blanco River,2,13,57,43,0,0
Blanco River,2,14,40,79,0,0
Blanco River,2,15,72,31,0,0
Blanco River,2,16,48,103,0,0
Blanco River,2,17,78,53,0,0
Blanco River,2,18,49,64,0,0
Blanco River,2,20,90,34,0,0
Blanco River,2,21,39,63,0,0
Blanco River,2,22,57,46,0,0
Blanco River,2,23,21,49,0,0
Blanco River,2,24,74,17,0,0
Blanco River,2,28,51,71,0,0
Blanco River,2,29,39,49,0,0
Blanco River,3,1,81,50,0,0
Blanco River,3,2,64,21,0,0
Blanco River,3,4,67,52,0,0
Blanco River,3,7,68,51,0,0
Blanco River,3,8,43,20,0,0
Blanco River,3,9,61,30,0,0
Blanco River,3,11,59,70,0,0
Blanco River,3,12,75,50,0,0
Blanco River,3,13,63,68,0,0
Blanco River,3,18,55,97,0,0
Blanco River,3,19,62,53,0,0
Blanco River,3,20,83,45,0,0
Blanco River,3,21,26,70,0,0
Blanco River,3,22,26,43,0,0
Blanco River,3,23,43,54,0,0
Blanco River,3,24,29,66,0,0
Blanco River,3,25,46,67,0,0
Blanco River,3,26,66,50,0,0
Blanco River,3,27,38,79,0,0
Blanco River,3,28,56,72,0,0
Blanco River,3,30,24,72,0,0
Blanco River,3,31,50,74,0,0
Blanco River,4,1,47,59,0,0
Blanco River,4,2,92,83,0,0
Blanco River,4,3,51,45,0,0
Blanco River,4,5,61,18,0,0
Blanco River,4,6,45,42,0,0
Blanco River,4,7,38,75,0,0
Blanco River,4,8,26,44,0,0
Blanco River,4,10,41,60,0,0
Blanco River,4,11,22,5,0,0
Blanco River,4,14,72,37,0,0
Blanco River,4,15,65,41,0,0
Blanco River,4,16,14,91,0,0
Blanco River,4,17,62,41,0,0
Blanco River,4,19,44,49,0,0
Blanco River,4,21,28,49,0,0
Blanco River,4,22,20,68,0,0
Blanco River,4,24,36,46,0,0
Blanco River,4,25,50,65,0,0
Blanco River,4,26,45,47,0,0
Blanco River,4,29,75,75,0,0
Blanco River,4,30,67,73,0,0
Blanco River,5,1,37,64,0,0
Blanco River,5,2,70,60,0,0
Blanco River,5,3,64,35,0,0
Blanco River,5,4,44,61,0,0
Blanco River,5,5,83,58,0,0
Blanco River,5,6,47,99,0,0
Blanco River,5,7,63,72,0,0
Blanco River,5,9,69,4,0,0
Blanco River,5,10,47,58,0,0
Blanco River,5,11,19,46,0,0
Blanco River,5,13,48,61,0,0
Blanco River,5,14,48,63,0,0
Blanco River,5,17,69,74,0,0
Blanco River,5,19,64,71,0,0
Blanco River,5,20,35,78,0,0
Blanco River,5,22,69,10,0,0
Blanco River,5,23,35,62,0,0
Blanco River,5,27,56,39,0,0
Blanco River,5,28,52,61,0,0
Blanco River,5,29,95,44,0,0
Blanco River,5,31,77,71,0,0
Blanco River,6,2,80,53,0,0
Blanco River,6,3,40,63,0,0
Blanco River,6,4,97,79,0,0
Blanco River,6,5,67,27,0,0
Blanco River,6,6,64,61,0,0
Blanco River,6,9,63,40,0,0
Blanco River,6,12,47,43,0,0
Blanco River,6,13,35,72,0,0
Blanco River,6,14,67,58,0,0
Blanco River,6,16,99,71,0,0
Blanco River,6,17,59,64,0,0
Blanco River,6,20,66,37,0,0
Blanco River,6,21,62,51,0,0
Blanco River,6,22,52,64,0,0
Blanco River,6,24,62,65,0,0
Blanco River,6,26,30,64,0,0
Blanco River,6,27,49,61,0,0
Blanco River,6,29,68,69,0,0
Blanco River,6,30,44,82,0,0
Blanco River,7,2,51,40,0,0
Blanco River,7,4,37,34,0,0
Blanco River,7,7,92,46,0,0
Blanco River,7,10,37,63,0,0
Blanco River,7,11,73,45,0,0
Blanco River,7,13,25,79,0,0
Blanco River,7,14,59,69,0,0
Blanco River,7,15,72,90,0,0
Blanco River,7,17,53,68,0,0
Blanco River,7,18,57,40,0,0
Blanco River,7,19,43,57,0,0
Blanco River,7,20,76,50,0,0
Blanco River,7,23,52,50,0,0
Blanco River,7,24,47,47,0,0
Blanco River,7,25,53,91,0,0
Blanco River,7,26,61,70,0,0
Blanco River,7,27,91,48,0,0
Blanco River,7,28,53,69,0,0
Blanco River,7,31,22,54,0,0
Blanco River,8,1,39,70,0,0
Blanco River,8,2,68,51,0,0
Blanco River,8,3,38,39,0,0
Blanco River,8,4,45,46,0,0
Blanco River,8,5,67,79,0,0
Blanco River,8,7,50,97,0,0
Blanco River,8,10,50,43,0,0
Blanco River,8,11,23,42,0,0
Blanco River,8,12,31,64,0,0
Blanco River,8,13,51,26,0,0
Blanco River,8,17,86,50,0,0
Blanco River,8,20,52,52,0,0
Blanco River,8,21,61,46,0,0
Blanco River,8,22,75,68,0,0
Blanco River,8,23,31,49,0,0
Blanco River,8,24,64,67,0,0
Blanco River,8,26,59,53,0,0
Blanco River,8,27,56,64,0,0
Blanco River,8,28,67,93,0,0
Blanco River,8,30,50,88,0,0
Blanco River,9,1,60,86,0,0
Blanco River,9,2,34,70,0,0
Blanco River,9,3,21,71,0,0
Blanco River,9,4,68,47,0,0
Blanco River,9,6,82,44,0,0
Blanco River,9,8,24,16,0,0
Blanco River,9,9,60,80,0,0
Blanco River,9,11,55,66,0,0
Blanco River,9,12,67,58,0,0
Blanco River,9,14,59,69,0,0
Blanco River,9,16,73,36,0,0
Blanco River,9,17,81,50,0,0
Blanco River,9,18,63,58,0,0
Blanco River,9,20,58,75,0,0
Blanco River,9,21,97,58,0,0
Blanco River,9,22,65,46,0,0
Blanco River,9,23,43,65,0,0
Blanco River,9,24,63,89,0,0
Blanco River,9,25,32,53,0,0
Blanco River,9,26,54,74,0,0
Blanco River,9,27,59,49,0,0
Blanco River,9,29,46,59,0,0
Blanco River,10,1,46,70,0,0
Blanco River,10,2,48,37,0,0
Blanco River,10,3,23,40,0,0
Blanco River,10,4,42,32,0,0
Blanco River,10,5,63,43,0,0
Blanco River,10,6,41,36,0,0
Blanco River,10,7,54,23,0,0
Blanco River,10,8,54,52,0,0
Blanco River,10,11,32,73,0,0
Blanco River,10,12,83,87,0,0
Blanco River,10,14,43,63,0,0
Blanco River,10,17,96,47,0,0
Blanco River,10,19,44,74,0,0
Blanco River,10,20,59,78,0,0
Blanco River,10,21,36,59,0,0
Blanco River,10,24,64,66,0,0
Blanco River,10,25,36,58,0,0
Blanco River,10,26,75,56,0,0
Blanco River,10,29,41,62,0,0
Blanco River,10,30,82,19,0,0
Blanco River,10,31,71,32,0,0
Blanco River,11,1,46,56,0,0
Blanco River,11,2,57,35,0,0
Blanco River,11,3,67,38,0,0
Blanco River,11,5,64,58,0,0
Blanco River,11,6,64,63,0,0
Blanco River,11,7,59,76,0,0
Blanco River,11,8,58,34,0,0
Blanco River,11,9,41,80,0,0
Blanco River,11,10,72,60,0,0
Blanco River,11,11,79,45,0,0
Blanco River,11,12,60,61,0,0
Blanco River,11,13,34,98,0,0
Blanco River,11,14,8,50,0,0
Blanco River,11,15,61,80,0,0
Blanco River,11,17,34,63,0,0
Blanco River,11,18,51,57,0,0
Blanco River,11,19,49,49,0,0
Blanco River,11,21,46,55,0,0
Blanco River,11,22,43,71,0,0
Blanco River,11,25,62,44,0,0
Blanco River,11,27,30,41,0,0
Blanco River,11,28,48,40,0,0
Blanco River,11,30,37,76,0,0
Blanco River,12,1,49,39,0,0
Blanco River,12,2,65,55,0,0
Blanco River,12,3,60,57,0,0
Blanco River,12,4,61,66,0,0
Blanco River,12,9,68,49,0,0
Blanco River,12,10,39,70,0,0
Blanco River,12,11,45,60,0,0
Blanco River,12,13,74,66,0,0
Blanco River,12,14,71,70,0,0
Blanco River,12,15,48,40,0,0
Blanco River,12,16,43,70,0,0
Blanco River,12,17,43,32,0,0
Blanco River,12,18,65,72,0,0
Blanco River,12,19,95,77,0,0
Blanco River,12,22,62,74,0,0
Blanco River,12,24,36,50,0,0
Blanco River,12,25,68,77,0,0
Blanco River,12,26,38,42,0,0
Blanco River,12,27,28,67,0,0
Blanco River,12,28,79,38,0,0
Blanco River,12,30,58,34,0,0
Blanco River,12,31,43,52,0,0
Leon River,1,2,65,31,0,0
Leon River,1,4,70,24,0,0
Leon River,1,5,45,32,0,0
Leon River,1,6,61,23,0,0
Leon River,1,7,84,22,0,0
Leon River,1,10,37,19,0,0
Leon River,1,11,19,21,0,0
Leon River,1,12,16,25,0,0
Leon River,1,13,62,35,0,0
Leon River,1,14,98,19,0,0
Leon River,1,15,48,29,0,0
Leon River,1,16,97,46,0,0
Leon River,1,17,77,7,0,0
Leon River,1,19,79,26,0,0
Leon River,1,22,67,36,0,0
Leon River,1,23,82,33,0,0
Leon River,1,24,70,6,0,0
Leon River,1,25,76,19,0,0
Leon River,1,27,60,13,0,0
Leon River,1,28,42,30,0,0
Leon River,1,30,66,32,0,0
Leon River,1,31,49,31,0,0
Leon River,2,1,50,34,0,0
Leon River,2,3,105,23,0,0
Leon River,2,4,34,48,0,0
Leon River,2,6,74,17,0,0
Leon River,2,7,69,25,0,0
Leon River,2,8,21,29,0,0
Leon River,2,9,87,24,0,0
Leon River,2,10,110,18,0,0
Leon River,2,14,70,38,0,0
Leon River,2,15,41,35,0,0
Leon River,2,16,59,16,0,0
Leon River,2,17,52,46,0,0
Leon River,2,18,91,37,0,0
Leon River,2,19,29,43,0,0
Leon River,2,20,63,19,0,0
Leon River,2,21,72,35,0,0
Leon River,2,23,94,37,0,0
Leon River,2,27,58,34,0,0
Leon River,2,28,53,25,0,0
Leon River,3,1,76,25,0,0
Leon River,3,2,59,48,0,0
Leon River,3,3,62,30,0,0
Leon River,3,4,47,29,0,0
Leon River,3,6,50,27,0,0
Leon River,3,8,77,39,0,0
Leon River,3,9,57,16,0,0
Leon River,3,10,87,42,0,0
Leon River,3,11,80,20,0,0
Leon River,3,13,107,29,0,0
Leon River,3,14,112,14,0,0
Leon River,3,15,73,16,0,0
Leon River,3,16,60,19,0,0
Leon River,3,17,84,19,0,0
Leon River,3,18,35,31,0,0
Leon River,3,19,74,37,0,0
Leon River,3,20,46,16,0,0
Leon River,3,21,87,27,0,0
Leon River,3,22,63,16,0,0
Leon River,3,23,88,27,0,0
Leon River,3,24,70,19,0,0
Leon River,3,25,55,20,0,0
Leon River,3,26,22,18,0,0
Leon River,3,29,18,36,0,0
Leon River,3,30,69,22,0,0
Leon River,3,31,59,30,0,0
Leon River,4,2,79,31,0,0
Leon River,4,3,88,29,0,0
Leon River,4,5,86,41,0,0
Leon River,4,7,60,33,0,0
Leon River,4,8,59,33,0,0
Leon River,4,9,58,30,0,0
Leon River,4,11,59,22,0,0
Leon River,4,12,46,36,0,0
Leon River,4,13,55,36,0,0
Leon River,4,15,75,44,0,0
Leon River,4,17,79,29,0,0
Leon River,4,18,67,33,0,0
Leon River,4,19,54,35,0,0
Leon River,4,20,45,28,0,0
Leon River,4,21,32,34,0,0
Leon River,4,24,67,24,0,0
Leon River,4,25,70,6,0,0
Leon River,4,26,59,29,0,0
Leon River,4,27,74,27,0,0
Leon River,4,29,64,24,0,0
Leon River,4,30,70,37,0,0
Leon River,5,1,55,17,0,0
Leon River,5,3,61,45,0,0
Leon River,5,5,36,12,0,0
Leon River,5,7,87,22,0,0
Leon River,5,8,109,22,0,0
Leon River,5,10,86,7,0,0
Leon River,5,11,51,16,0,0
Leon River,5,12,48,36,0,0
Leon River,5,13,66,23,0,0
Leon River,5,15,23,49,0,0
